infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
3.16,32.22,79.91,159.83,6.7,4.4,0.66,9.9,16.6,7.5,48.91444,0
9.41,32.13,77.1,231.3,7.7,4.6,0.6,6,3,7.5,29.675802,2
22.05,50,78,162.5,11.9,7.34,0.62,17,28.5,7.5,57.918606,0
10,50,75.51,151.02,7.12,4.89,0.69,6,6,7.5,15.442005,2
7.91,30.86,74.77,224.31,7.7,4.6,0.6,6,3,7.5,41.986237,2
11.14,55,75,164.85,9.6,6.91,0.72,2,0.5,7.6,31.990744,0
10.85,30.5,81,176.78,7,5.3,0.76,4,2,7.5,4.8044834,0
9.65,47.5,75,151,9.6,6.91,0.72,2,1.5,7.4,18.394836,1
14.03,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.602863,0
10.91,40,69.79,139.58,8.2,5.6,0.68,6.8,7.3,7.6,21.875294,0
11.14,55,75,164.85,9.6,6.91,0.72,2,0.3,7.6,31.990744,0
11.1,40.8,75.5,196.1,8.2,3.6,0.44,6,1.5,7.6,86.017975,0
8.96,51.88,67.93,169.74,12.02,3.49,0.29,6,2,8,78.12124,1
14.65,45,164.7,161.47,7.8,6.65,0.85,5,6,7.5,6.070454,0
10.21,18.7,67.4,135.8,8.48,4.82,0.57,12,24,7.4,32.677444,2
10.36,51.17,85,155.09,9.6,6.91,0.72,2,1,7,13.237605,2
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,1,7.5,3.6848714,0
10.36,22.8,76.8,151.9,6.88,3.97,0.58,12,24,7.4,51.74145,2
15.45,47.5,75,178,9.6,6.91,0.72,2,1.5,7.4,29.083399,1
8.78,39.85,74.28,174.59,16.41,3.57,0.22,6,2,8,72.22318,2
11.15,29.06,69.8,190.47,6.3,2.53,0.4,6,2,8,77.12808,1
10.61,40.6,77.42,194.76,4.92,2.39,0.49,6,2,8,57.95586,0
10.64,22.8,76.8,151.9,7.58,4.48,0.59,12,24,7.4,24.289198,0
11.15,9.72,72.9,187.46,5.37,2.89,0.54,6,2,8,41.178204,0
9.57,45,52,118,4,3.1,0.78,5.8,3.8,7.4,25.452478,0
9.43,34.65,83.01,249.04,7.7,4.6,0.6,6,3,7.5,33.590126,2
10.32,45,69.27,147.38,6.91,4.09,0.59,8,12,7.5,13.939022,1
12.2,56.25,90.14,480.41,9.3,0.56,0.06,9,3,7.5,35.352207,2
12.36,45,52,118,4,3.1,0.78,5.8,3.8,7.4,29.027689,1
10.49,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,30.209692,0
15.11,47.5,75,174,9.6,6.91,0.72,2,1.5,7.4,22.609123,0
11.1,51.35,85,158.61,9.6,6.91,0.72,1.5,1,7.6,9.087692,2
14.22,50,76.52,153.03,7.2,5.32,0.74,6,6,7.5,12.083075,2
27.66,50,72,144,7.5,5.3,0.71,3,3,7.6,16.341768,2
12.76,32.86,79.61,159.23,6.7,4.4,0.66,7.4,8,7.5,52.328445,2
14.8,64.59,89.59,308.15,8.7,0.6,0.07,9,3,7.5,45.574696,2
10.13,55,84,156.17,9.6,6.91,0.72,2,1,7.6,13.483453,2
10.83,20.13,70.97,198.29,4.91,2.61,0.53,6,2,8,66.08354,0
11.05,28.57,72.26,190.45,4.28,1.99,0.47,6,2,8,50.1597,0
10.6,28.81,68.39,209.75,4.35,2.02,0.46,6,2,8,93.36266,1
11.38,45,72,144,4.6,3.5,0.76,4,6,7.6,16.593971,0
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,4,7.5,3.6848714,2
4.98,20.15,52.09,104.19,6.7,4.4,0.66,8.5,11.8,7.5,43.51627,2
11.13,60.73,76.4,170.23,12,7.6,0.63,8,4,7.5,85.9253,0
9.48,42.5,79.54,238.61,7.7,4.6,0.6,6,3,7.5,24.770576,2
9.64,28.44,69.8,185.05,5.73,2.46,0.43,6,2,8,73.30459,0
14.2,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,15.8278,0
10.01,28.32,69.8,210.16,6.33,2.92,0.46,6,2,8,86.95172,1
10.15,40.32,75.87,194.8,8.2,3.5,0.43,5,2.5,7.1,102.57705,2
9.69,49.9,72.04,196.58,13.61,4.24,0.31,6,2,8,98.49942,1
13.16,47.5,75,168,9.6,6.91,0.72,2,1.5,7.4,30.240362,0
8.65,47.5,75,165,9.6,6.91,0.72,2,1.5,7.4,20.930237,0
11.65,45,72,160,6.91,4.09,0.59,5,6,7.5,3.5229642,0
9.69,29.19,73.16,194.76,9.09,3.32,0.37,6,2,8,80.052605,0
10.55,40.84,70.92,192.03,9.51,3.17,0.33,6,2,8,86.138374,1
10.83,30.55,73.55,207.13,4.04,2.09,0.52,6,2,8,66.19984,0
9.37,29.93,72.79,180.93,5.29,2.32,0.44,6,2,8,56.12124,0
8.89,47.5,75,176,9.6,6.91,0.72,2,1.5,7.4,41.18328,1
10.16,0,73.9,200.59,8.2,3.5,0.43,5,2.5,7.1,101.7201,0
9.75,18.7,67.4,135.8,7.91,5.21,0.66,12,24,7.4,40.40098,2
5.91,50,85,163.05,9.6,6.91,0.72,2,0.3,7.6,11.438308,0
10.07,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,43.212734,2
16.22,50,67,134,7.5,5.3,0.71,3,3,7.6,13.241272,1
6.23,34,75.42,226.26,7.7,4.6,0.6,6,3,7.5,34.381664,2
10.14,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,27.576677,1
10.11,45,71.25,151.6,6.15,3.88,0.63,8,12,7.5,34.180443,2
18.09,45,75,150,7,5.28,0.75,5,6,7.5,8.592208,0
10.78,45,69,153.33,4.75,2.87,0.6,5,6,7.5,20.422832,0
11.97,0,65.16,177.04,6.09,3,0.49,6,2,8,54.946735,0
6.98,52.03,89.14,178.27,6.7,4.4,0.66,6.8,5.8,7.5,26.307356,2
9.92,29.06,65.32,195.11,6.63,2.67,0.4,6,2,8,79.846756,1
9.79,18.7,67.4,135.8,7.97,4.76,0.6,12,24,7.4,55.2955,0
10.04,18.7,67.4,135.8,9.03,5.94,0.66,12,24,7.4,51.429493,2
9.97,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,30.088728,0
11.6,40,65.91,178.13,11.08,3.96,0.36,3,2.5,7.6,64.36148,0
10.28,39.11,70.55,196.37,17.22,3.72,0.22,6,2,8,103.37773,2
8.82,18.53,56.76,117.07,8.2,3.3,0.4,3.5,1.5,7.1,84.864296,1
11.21,22.8,76.8,151.9,7,4.12,0.59,12,24,7.4,49.46502,1
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,2,7.4,24.084515,0
10.05,52,74.65,177.92,14.97,4,0.27,6,2,8,72.11176,2
11.36,22.8,76.8,151.9,7.91,4.94,0.62,12,24,7.4,74.21048,2
9.52,37.51,77.82,233.46,7.7,4.6,0.6,6,3,7.5,32.80267,2
10.28,39.85,70.92,189.9,19.43,4.16,0.21,6,2,8,80.538536,2
17.46,26.3,80.85,161.69,6.7,4.4,0.66,8.6,12,7.5,44.615997,2
8.76,38.91,84.9,254.71,7.7,4.6,0.6,6,3,7.5,34.80443,2
9.91,44.84,56.97,134.85,4,3.1,0.78,6,2,7.4,20.988853,0
15.73,45,68.34,151.87,4.8,3.62,0.75,5,6,7.5,5.924184,0
9.77,50,80,160,7.12,4.89,0.69,6,6,7.5,23.774721,1
13.16,45,140.29,137.54,7.5,6.22,0.83,5,6,7.5,5.628805,0
11.21,11.21,70.32,201.87,5.07,2.6,0.51,6,2,8,65.152306,0
18,47.5,75,192,9.6,6.91,0.72,2,1.5,7.4,15.936741,1
10.77,30.43,72.9,203.72,4.42,1.99,0.45,6,2,8,73.33915,1
10.13,55,84,156.17,9.6,6.91,0.72,2,0.5,7.6,13.483453,0
10.87,39.6,72.04,177.42,9.69,3.46,0.36,6,2,8,76.07442,1
12.3,56.57,84.83,686.4,9.2,0.54,0.06,9,3,7.5,41.288506,2
10.28,29.68,69.43,188.75,5.13,2.29,0.45,6,2,8,57.35209,1
11.08,45,76.47,154.52,6.7,4,0.6,8,2,7.5,32.241516,0
10.21,22.8,76.8,151.9,7,4,0.57,12,24,7.4,59.74603,2
11.6,40,65.03,175.75,9.53,3.99,0.42,3,2.5,7.6,82.254616,0
17.74,45,78.2,159.59,7.5,6.41,0.85,5,6,7.5,3.2458234,0
6.79,42.72,85,166.95,9.6,6.91,0.72,2,0.3,7.6,11.38386,2
10.49,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,17.065472,0
10.08,47.5,75,172,9.6,6.91,0.72,2,1.5,7.4,28.871979,1
10.46,39.23,70.17,199.38,18.06,3.89,0.22,6,2,8,89.02328,2
11.65,41.34,70.17,195.83,18.26,3.93,0.22,6,2,8,89.9168,2
11.32,9.84,71.61,191.33,5.61,2.88,0.51,6,2,8,53.194946,0
10.61,50,73.16,146.32,7.5,5.3,0.71,3,3,7.6,19.481316,0
13.33,50,75.3,150.6,7.5,5.3,0.71,3,3,7.6,8.384129,0
11.43,11.58,67.74,190.81,5.41,2.79,0.51,6,2,8,57.089546,0
10.07,18.7,67.4,135.8,7.67,4.67,0.61,12,24,7.4,27.699438,0
10.86,50,79.35,158.7,5.5,4.6,0.84,4.6,4.6,7.6,8.772832,1
11.04,22.69,76.67,8.33,7.52,4.57,0.61,8,4,7.4,0.2553147,1
10.36,37.2,84.67,254.02,7.7,4.6,0.6,6,3,7.5,31.975111,2
14.22,45,85.5,190,4.8,3.62,0.75,5,6,7.5,3.3551502,0
10.01,29.56,69.68,199.53,4.18,1.9,0.45,6,2,8,61.509884,1
12.13,47.5,75,173,9.6,6.91,0.72,2,1.5,7.4,17.177,1
9.23,47.5,75,150,9.6,6.91,0.72,2,1.5,7.4,13.682599,2
8.42,23.6,76.04,152.09,6.7,4.4,0.66,8.8,12.8,7.5,50.866776,2
