infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P class
10.61,19.64,68.39,196.32,5.24,2.65,0.5,6,2,8,63.19544,1
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,0.5,7.4,18.325752,0
12.04,47.5,75,156,9.6,6.91,0.72,2,1.5,7.4,11.368939,1
10.72,40,72.98,145.96,8.2,5.6,0.68,7.8,8.8,7.6,28.055265,1
5.01,35.76,69.07,138.13,6.7,4.4,0.66,9.9,16.8,7.5,55.32497,1
11.6,40,60.22,162.75,10.73,3.55,0.33,3,2.5,7.6,69.770386,0
10.36,50.63,85,155.56,9.6,6.91,0.72,2,0.3,8,10.948464,0
17.4,47.5,75,181,9.6,6.91,0.72,2,1.5,7.4,21.685604,1
11.6,40,58.41,157.85,11.33,3.88,0.34,3,2.5,7.6,73.37189,0
8.56,44.22,77.82,155.64,6.7,4.4,0.66,9.2,14.2,7.5,43.10153,0
9.68,8.75,75,202.4,8.2,3.5,0.43,5,0.8,7.1,105.132484,0
13.54,14.5,68.33,136.66,6.7,4.4,0.66,10.4,18.4,7.5,48.118256,0
10.08,47.5,75,153,9.6,6.91,0.72,2,1.5,7.4,14.933227,0
13.17,0,74.84,172.72,6.67,3.39,0.51,6,2,8,45.148396,0
14.65,45,81.5,163,4.6,3.5,0.76,4,6,7.6,6.522323,0
9.21,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,23.507416,2
15.1,50,81,162,4.8,4.1,0.85,4,4,7.6,5.725472,0
10.36,36.11,75.02,225.05,7.7,4.6,0.6,6,3,7.5,32.775246,2
7.78,45,52,118,4,3.1,0.78,5.8,3.8,7.4,28.806763,0
9.37,50.27,68.31,175.19,15.43,3.62,0.23,6,2,8,68.74053,2
15.53,50,73,146,5.5,4.6,0.84,5.8,5.8,7.6,7.8708334,0
10.65,51.51,71.29,179.87,16.73,3.91,0.23,6,2,8,77.69717,2
10.93,18.7,67.4,135.8,7.82,5.09,0.65,12,24,7.4,54.11514,0
11.64,18.7,67.4,135.8,9.06,5.97,0.66,12,24,7.4,67.43028,0
11.08,45,76.47,154.52,6.7,4,0.6,8,12,7.5,32.241516,2
15.88,47.5,75,191,9.6,6.91,0.72,2,1.5,7.4,15.058543,1
9.64,50.76,67.93,168.67,13.77,3.43,0.25,6,2,8,72.0031,2
10.39,50,70.53,141.06,5.5,4.6,0.84,5,5,7.6,12.369336,0
10.19,31.54,72.04,177.08,7.9,2.95,0.37,6,2,8,71.15919,1
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,1,7.4,24.084515,0
3.01,15.51,108.1,216.2,6.7,4.4,0.66,8.6,12.2,7.5,54.785614,1
12.42,50,68,136,5.5,4.6,0.84,5.6,5.6,7.6,6.1496196,0
11.54,30.55,70.97,205.58,4.77,2.39,0.5,6,2,8,58.24326,0
11.26,9.59,69.68,203.87,4.3,2.25,0.52,6,2,8,54.98224,0
10.88,10.21,75.48,183.6,5.12,2.7,0.53,6,2,8,49.44488,0
11.6,40,60.64,163.88,10.68,4.01,0.38,3,2.5,7.6,62.776745,0
9.61,22.8,76.8,151.9,6.94,3.97,0.57,12,24,7.4,53.011868,2
9.1,41.84,72.41,196.97,16.5,3.72,0.23,6,2,8,96.74971,2
12.21,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.332413,0
10.74,50,82.9,172.71,12,7.83,0.65,12,23.2,7.5,71.88976,0
9.64,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,49.663784,2
11.1,19.14,74.19,178.31,5.41,2.86,0.53,6,2,8,47.390423,0
12.36,43.23,85,158.61,9.6,6.91,0.72,2,0.3,6.5,9.578959,0
9.69,40.22,69.8,181.68,17.17,3.67,0.21,6,2,8,77.347855,2
10.87,30.43,75.03,201.27,18.29,3.81,0.21,6,2,8,93.21493,2
5.67,50,85,160.11,9.6,6.91,0.72,2,1,7.6,11.58625,2
25.09,45,77.47,172.14,4.65,3.58,0.77,5,6,7.5,14.590839,0
6.66,42.89,94.92,189.85,6.7,4.4,0.66,6.9,6.2,7.5,31.956217,2
9.91,44.84,56.97,134.85,4,3.1,0.78,6,4,7.4,20.988853,0
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,4,7.4,24.084515,0
10.18,47.5,75,167,9.6,6.91,0.72,2,1.5,7.4,22.8771,0
6.42,50,85,163.23,9.6,6.91,0.72,2,0.5,7.6,11.709823,2
14.55,50,72,144,4.8,4.1,0.85,4,4,7.6,7.769289,0
12.97,47.5,75,180,9.6,6.91,0.72,2,1.5,7.4,30.351307,1
11.73,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,15.733135,0
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,3,7.4,24.084515,0
10.81,47.5,75,159,9.6,6.91,0.72,2,1.5,7.4,42.55822,0
10.85,30.5,81,176.78,7,5.3,0.76,4,6,7.5,4.8044834,0
10.43,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,45.4095,2
10.5,38.98,71.61,200.46,4.6,2.19,0.48,6,2,8,57.801254,1
6.54,44.67,52.6,117.24,3.1,2.4,0.77,8,2,7.4,18.325752,0
9.88,35.92,89.52,268.55,7.7,4.6,0.6,6,3,7.5,28.167953,2
9.73,53.74,84,158.55,9.6,6.91,0.72,2,1,7.6,15.175182,0
6.25,50,75.2,156.67,11.9,8.23,0.69,14.3,25.6,7.5,64.59899,0
10.39,39.98,68.39,206.41,5.62,2.86,0.51,6,2,8,76.43801,0
9.97,44.01,78.31,156.61,6.7,4.4,0.66,6.7,5.4,7.5,21.581274,2
10.42,49.9,70.92,177.43,14.87,3.73,0.25,6,2,8,83.10821,2
10.1,39.11,75.4,180.23,10.64,3.52,0.33,6,2,8,75.967606,1
9.14,29.31,77.64,191.41,19.7,3.92,0.2,6,2,8,87.36359,2
11.54,22.8,76.8,151.9,7.06,4.3,0.61,12,24,7.4,58.2667,2
24.66,45,71,142,4.6,3.5,0.76,4,6,7.6,15.532717,0
9.51,30.05,73.91,184.82,6.58,2.34,0.36,6,2,8,68.0163,0
9.95,39.03,72.68,218.03,7.7,4.6,0.6,6,3,7.5,28.612946,2
11.05,40.6,69.43,174.87,18.46,3.75,0.2,6,2,8,69.22931,2
9.87,29.06,72.41,173.87,7.03,2.55,0.36,6,2,8,56.600018,1
7.22,50,76,152,7.5,5.3,0.71,3,3,7.6,21.402466,2
9,45,52,118,4,3.1,0.78,5.8,3.8,7.4,22.58928,1
15.36,47.5,75,158,9.6,6.91,0.72,2,1.5,7.4,13.487884,0
9.87,51.63,70.17,197.53,12.58,3.61,0.29,6,2,8,92.618805,1
9.42,51.01,73.91,193.94,11.49,3.19,0.28,6,2,8,86.81671,1
11.1,40.6,70.32,214.78,4.78,2.4,0.5,6,2,8,62.77732,1
12.8,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,21.079855,0
11.13,47.5,75,179,9.6,6.91,0.72,2,1.5,7.4,19.765738,2
5.67,50,85,160.11,9.6,6.91,0.72,2,0.5,7.6,11.58625,2
10.64,22.8,76.8,151.9,7.12,4.15,0.58,12,24,7.4,20.916338,1
9.23,50.27,72.41,167.75,14.58,4.08,0.28,6,2,8,75.05412,2
9.96,22.8,76.8,151.9,6.91,4.18,0.61,12,24,7.4,29.992184,0
15.46,45,78,159.18,7,5.37,0.77,5,6,7.5,5.505447,0
10.28,31.54,70.55,207.69,7.44,2.84,0.38,6,2,8,99.23778,0
17.7,47.5,75,177,9.6,6.91,0.72,2,1.5,7.4,31.088673,2
10.46,47.5,75,155,9.6,6.91,0.72,2,1.5,7.4,11.840956,0
13.24,45,79.5,169.15,11.2,7.36,0.66,8,12,7.5,71.67803,1
11.7,10.59,70.32,186.68,6.02,3.12,0.52,6,2,8,58.863853,0
10.46,45,74,157.45,6.7,4.12,0.61,8,12,7.5,25.978176,1
11.09,47.5,75,194,9.6,6.91,0.72,2,1.5,7.4,14.00969,2
11.59,9.72,72.9,174.72,5.07,2.58,0.51,6,2,8,39.169083,0
6.09,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,25.009195,0
13.46,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,22.037275,0
11.6,40,68.86,186.11,9.53,4.04,0.42,3,2.5,7.6,69.456955,0
11.13,60.73,76.4,170.23,12,7.6,0.63,8,12,7.5,85.9253,0
10.36,52.54,85,155.73,9.6,6.91,0.72,2,0.5,8.5,8.573915,2
10.29,22.8,76.8,151.9,6.91,3.94,0.57,12,24,7.4,47.509937,2
10.64,50,82.6,165.2,7.5,5.83,0.78,6,6,7.5,0.73216075,1
15.46,45,81,162,7,5.37,0.77,5,6,7.5,2.9368267,0
9.92,50.89,70.55,179.9,16.47,3.76,0.23,6,2,8,79.78928,2
10.01,51.26,71.29,195.09,14.44,3.79,0.26,6,2,8,97.16908,2
9.83,29.43,72.41,188.76,5.96,2.47,0.41,6,2,8,70.84004,1
10.61,31.05,70.32,213.89,4.76,2.21,0.46,6,2,8,75.46582,1
35.49,40,75.38,150.75,8.2,5.6,0.68,8.5,9.8,7.6,30.86865,0
11.33,32.04,71.29,189.09,6.61,2.42,0.37,6,2,8,81.977066,1
11.6,40,65.17,176.13,10.05,4.1,0.41,3,2.5,7.6,81.180534,0
9.51,38.9,77.67,233,7.7,4.6,0.6,6,3,7.5,35.71748,2
10.85,30.5,81,176.78,7,5.3,0.76,4,1,7.5,4.8044834,0
8.04,37.91,82.72,248.15,7.7,4.6,0.6,6,3,7.5,33.60647,2
6.79,42.72,85,166.95,9.6,6.91,0.72,2,0.5,7.6,11.38386,2
9.64,22.8,76.8,151.9,7.91,4.94,0.62,12,24,7.4,48.12926,0
9.73,53.74,84,158.55,9.6,6.91,0.72,2,0.5,7.6,15.175182,0
9.43,22.8,76.8,151.9,7.15,4.15,0.58,12,24,7.4,41.108585,2
14.03,50,75,150,4.8,4.1,0.85,4,4,7.6,7.942886,0
11.63,47.5,75,166,9.6,6.91,0.72,2,1.5,7.4,39.137173,0
11.36,22.8,76.8,151.9,7,4,0.57,12,24,7.4,32.095177,0
7.68,37.01,90.59,181.19,6.7,4.4,0.66,8.9,13,7.5,48.6814,1
12.89,47.5,75,171,9.6,6.91,0.72,2,1.5,7.4,22.726223,2
10.44,40,79.2,158.4,8.2,5.6,0.68,6,6,7.6,26.604527,0
10.11,22.8,76.8,151.9,7.52,4.09,0.54,12,24,7.4,68.19595,0
10.8,30.76,90.99,181.99,6.7,4.4,0.66,8.3,11.2,7.5,53.002876,2
12.36,43.23,85,158.61,9.6,6.91,0.72,2,1,6.5,9.578959,2
17.4,50,78,156,7.5,5.3,0.71,3,3,7.6,29.057936,1
9.36,18.7,67.4,135.8,7.97,4.76,0.6,12,24,7.4,35.652832,0
10.33,31.91,68.31,186,6.64,2.57,0.39,6,2,8,77.95452,0
13.69,50,75,150,5.5,4.6,0.84,4.2,4.2,7.6,14.114598,1
7.09,48.99,87.54,175.07,6.7,4.4,0.66,7.3,7.4,7.5,55.138443,2
14.74,47.5,75,186,9.6,6.91,0.72,2,1.5,7.4,18.657728,2
10.36,51.17,85,155.09,9.6,6.91,0.72,2,0.5,7,13.237605,1
12.42,40,66.48,132.96,8.2,5.6,0.68,10,12,7.6,39.94286,2
6.93,31.75,71.05,142.09,6.7,4.4,0.66,9.5,15.2,7.5,49.423035,1
11.07,47.5,75,184,9.6,6.91,0.72,2,1.5,7.4,19.95591,1
9.36,18.7,67.4,135.8,7.52,4.48,0.6,12,24,7.4,35.304756,2
19.2,50,76,152,7.5,5.3,0.71,3,3,7.6,28.233147,0
10.39,50,74.03,148.05,7.5,5.3,0.71,3,3,7.6,8.883421,2
28.35,50,75.44,150.88,7.5,5.3,0.71,3,3,7.6,27.447187,0
