infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
7.78,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,29.3
9.96,76.8,76.8,0.0,151.9,6.91,4.18,0.61,20.0,12.0,7.4,30.0,0.7,29.78
16.81,80.24,53.76,26.48,160.47,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,7.69
10.39,75.0,50.25,24.75,150.0,5.5,4.6,0.84,14.0,4.4,7.6,22.0,0.7,6.19
10.36,76.8,76.8,0.0,151.9,7.0,4.09,0.58,20.0,12.0,7.4,30.0,0.7,65.56
11.15,73.53,73.53,0.0,206.1,20.14,4.15,0.21,10.0,6.0,8.0,22.0,0.09,105.0
6.03,73.5,49.25,24.26,153.13,12.0,7.83,0.65,30.0,13.3,7.5,30.0,0.7,73.71
13.16,140.29,93.99,46.3,137.54,7.5,6.22,0.83,20.0,5.0,7.5,30.0,0.7,5.71
6.79,85.0,31.89,53.11,166.95,9.6,6.91,0.72,0.5,1.0,7.6,30.0,0.7,8.5
8.54,83.91,56.22,27.69,174.81,11.5,6.94,0.6,30.0,16.3,7.5,30.0,0.7,63.54
7.42,63.55,63.55,0.0,72.61,8.2,3.3,0.4,1.0,9.0,7.1,22.0,0.09,70.76
12.3,71.61,71.61,0.0,170.85,6.31,3.16,0.5,10.0,6.0,8.0,22.0,0.09,35.85
11.21,70.32,70.32,0.0,201.87,5.07,2.6,0.51,10.0,6.0,8.0,22.0,0.09,65.26
12.2,90.14,90.14,0.0,480.41,9.3,0.56,0.06,4.5,9.0,7.5,30.0,2.5,35.2
4.98,52.09,52.09,0.0,104.19,6.7,4.4,0.66,20.0,8.5,7.5,30.0,0.7,43.47
9.36,67.4,67.4,0.0,135.8,7.52,4.48,0.6,20.0,12.0,7.4,30.0,0.7,35.33
13.27,82.56,55.32,27.24,165.12,5.5,4.6,0.84,14.0,5.2,7.6,22.0,0.7,6.28
9.83,72.41,72.41,0.0,188.76,5.96,2.47,0.41,10.0,6.0,8.0,22.0,0.09,70.72
11.08,76.47,51.23,25.23,154.52,6.7,4.0,0.6,20.0,4.0,7.5,30.0,0.7,19.53
28.35,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,27.62
9.14,74.28,74.28,0.0,196.08,18.37,3.72,0.2,10.0,6.0,8.0,22.0,0.09,90.71
11.1,78.06,78.06,0.0,180.74,5.83,3.01,0.52,10.0,6.0,8.0,22.0,0.09,56.48
9.45,58.0,58.0,0.0,114.0,3.1,2.4,0.77,4.0,7.8,7.4,20.0,0.05,22.03
10.14,58.0,58.0,0.0,114.0,3.1,2.4,0.77,4.0,7.8,7.4,20.0,0.05,27.35
8.56,77.82,77.82,0.0,155.64,6.7,4.4,0.66,20.0,9.2,7.5,30.0,0.7,42.9
10.06,71.61,71.61,0.0,205.06,5.11,2.51,0.49,10.0,6.0,8.0,22.0,0.09,62.24
9.87,70.17,70.17,0.0,197.53,12.58,3.61,0.29,10.0,6.0,8.0,22.0,0.09,92.51
17.65,84.0,56.28,27.72,168.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,25.42
27.25,76.4,51.19,25.21,159.17,11.9,8.23,0.69,30.0,14.9,7.5,30.0,0.7,60.98
9.96,76.8,76.8,0.0,151.9,7.42,4.61,0.62,20.0,12.0,7.4,30.0,0.7,37.33
9.74,70.32,70.32,0.0,210.27,4.77,2.17,0.45,10.0,6.0,8.0,22.0,0.09,86.04
9.61,76.8,76.8,0.0,151.9,7.36,4.39,0.6,20.0,12.0,7.4,30.0,0.7,52.67
9.73,84.0,64.58,19.42,158.55,9.6,6.91,0.72,0.5,0.5,7.6,35.0,0.7,3.2
11.6,60.64,60.64,0.0,163.88,10.68,4.01,0.38,4.0,3.0,7.6,22.0,0.09,62.73
5.67,85.0,83.1,1.9,160.11,9.6,6.91,0.72,0.5,0.3,7.6,30.0,0.7,2.38
14.03,75.0,50.25,24.75,150.0,4.8,4.1,0.85,14.0,4.0,7.6,22.0,0.7,7.8
10.36,85.0,52.01,32.99,155.73,9.6,6.91,0.72,0.5,0.3,8.5,30.0,0.7,1.99
27.66,72.0,48.24,23.76,144.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,16.04
17.4,75.0,50.25,24.75,181.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,21.33
9.89,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,22.44
9.42,73.91,73.91,0.0,193.94,11.49,3.19,0.28,10.0,6.0,8.0,22.0,0.09,86.79
11.54,76.8,76.8,0.0,151.9,7.06,4.3,0.61,20.0,12.0,7.4,30.0,0.7,58.44
8.79,76.8,76.8,0.0,151.9,7.12,4.21,0.59,20.0,12.0,7.4,30.0,0.7,31.11
11.08,75.0,50.25,24.75,159.57,6.91,4.09,0.59,30.0,8.0,7.5,30.0,0.7,10.47
10.33,67.93,67.93,0.0,199.06,7.98,3.12,0.39,10.0,6.0,8.0,22.0,0.09,81.33
10.28,70.55,70.55,0.0,196.37,17.22,3.72,0.22,10.0,6.0,8.0,22.0,0.09,103.59
10.01,68.31,68.31,0.0,208.62,6.1,2.61,0.43,10.0,6.0,8.0,22.0,0.09,85.3
11.15,72.9,72.9,0.0,187.46,5.37,2.89,0.54,10.0,6.0,8.0,22.0,0.09,40.91
9.64,67.93,67.93,0.0,168.67,13.77,3.43,0.25,10.0,6.0,8.0,22.0,0.09,72.07
15.36,75.0,50.25,24.75,158.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,13.2
10.13,84.0,64.58,19.42,156.17,9.6,6.91,0.72,0.5,0.5,7.6,30.0,0.7,4.96
6.79,85.0,31.89,53.11,166.95,9.6,6.91,0.72,0.5,2.0,7.6,30.0,0.7,11.05
10.6,67.19,67.19,0.0,192.01,17.58,3.61,0.21,10.0,6.0,8.0,22.0,0.09,94.72
11.08,76.47,51.23,25.23,154.52,6.7,4.0,0.6,20.0,2.0,7.5,30.0,0.7,6.51
9.14,77.64,77.64,0.0,191.41,19.7,3.92,0.2,10.0,6.0,8.0,22.0,0.09,87.34
9.6,70.17,70.17,0.0,178.88,7.58,2.88,0.38,10.0,6.0,8.0,22.0,0.09,69.44
10.5,74.19,74.19,0.0,204.86,4.65,2.18,0.47,10.0,6.0,8.0,22.0,0.09,75.97
10.36,85.0,52.01,32.99,155.09,9.6,6.91,0.72,0.5,1.0,7.0,30.0,0.7,9.5
10.96,67.4,67.4,0.0,135.8,8.09,5.18,0.64,20.0,12.0,7.4,30.0,0.7,34.44
11.1,77.27,77.27,0.0,182.49,19.11,3.44,0.18,10.0,6.0,8.0,22.0,0.09,72.85
9.79,76.8,76.8,0.0,151.9,7.7,4.21,0.55,20.0,12.0,7.4,30.0,0.7,62.22
19.23,140.0,93.8,46.2,137.25,7.8,6.65,0.85,20.0,5.0,7.5,30.0,0.7,1.25
10.55,69.03,69.03,0.0,197.4,4.89,2.67,0.55,10.0,6.0,8.0,22.0,0.09,63.64
15.45,75.0,50.25,24.75,178.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,29.25
13.24,79.5,53.27,26.24,169.15,11.2,7.36,0.66,30.0,8.0,7.5,30.0,0.7,71.79
10.18,75.84,75.84,0.0,200.64,8.2,3.5,0.43,1.0,5.0,7.1,22.0,0.09,109.03
7.91,74.77,74.77,0.0,224.31,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,42.27
14.55,79.7,53.4,26.3,78.14,7.6,6.33,0.83,20.0,5.0,7.5,30.0,0.7,2.32
11.1,75.48,75.48,0.0,177.57,5.98,3.0,0.5,10.0,6.0,8.0,22.0,0.09,39.76
10.77,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,2.0,7.6,20.0,0.7,8.63
6.54,52.6,52.6,0.0,117.24,3.1,2.4,0.77,4.0,1.0,7.4,20.0,0.05,3.45
10.39,68.39,68.39,0.0,206.41,5.62,2.86,0.51,10.0,6.0,8.0,22.0,0.09,76.51
8.63,86.85,86.85,0.0,260.56,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,34.33
9.73,84.0,64.58,19.42,158.55,9.6,6.91,0.72,0.5,0.3,7.6,35.0,0.7,2.06
10.4,80.66,54.04,26.62,168.03,12.9,8.23,0.64,30.0,19.1,7.5,30.0,0.7,27.07
8.23,74.9,74.9,0.0,224.7,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,26.77
9.65,75.0,50.25,24.75,151.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,18.68
5.91,85.0,42.0,43.0,163.05,9.6,6.91,0.72,0.5,0.3,7.6,30.0,0.7,1.45
5.67,85.0,83.1,1.9,160.11,9.6,6.91,0.72,0.5,1.0,7.6,30.0,0.7,4.78
8.31,80.08,80.08,0.0,160.16,6.7,4.4,0.66,20.0,7.5,7.5,30.0,0.7,49.34
11.6,65.91,65.91,0.0,178.13,11.08,3.96,0.36,4.0,3.0,7.6,22.0,0.09,64.11
10.64,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,22.88
10.29,76.8,76.8,0.0,151.9,6.97,4.06,0.58,20.0,12.0,7.4,30.0,0.7,46.44
10.44,79.2,53.06,26.14,158.4,8.2,5.6,0.68,14.0,6.0,7.6,22.0,0.7,26.67
9.97,58.0,58.0,0.0,114.0,3.1,2.4,0.77,4.0,7.8,7.4,20.0,0.05,30.5
12.76,79.61,79.61,0.0,159.23,6.7,4.4,0.66,20.0,7.4,7.5,30.0,0.7,52.51
10.6,68.39,68.39,0.0,209.75,4.35,2.02,0.46,10.0,6.0,8.0,22.0,0.09,93.62
9.74,70.92,70.92,0.0,197.71,8.17,2.93,0.36,10.0,6.0,8.0,22.0,0.09,86.37
11.36,76.8,76.8,0.0,151.9,7.91,4.94,0.62,20.0,12.0,7.4,30.0,0.7,74.44
9.41,52.57,52.57,0.0,134.63,4.3,3.3,0.77,4.0,1.0,7.4,30.0,0.7,14.03
10.77,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,0.5,7.6,20.0,0.7,7.51
10.34,75.0,50.25,24.75,169.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,25.5
9.42,74.28,74.28,0.0,186.93,8.15,3.04,0.37,10.0,6.0,8.0,22.0,0.09,73.01
11.64,75.0,50.25,24.75,175.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,23.42
8.36,76.8,76.8,0.0,151.9,7.7,4.24,0.55,20.0,12.0,7.4,30.0,0.7,59.11
10.06,86.95,86.95,0.0,260.84,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,30.34
10.13,84.0,64.58,19.42,156.17,9.6,6.91,0.72,0.5,2.0,7.6,30.0,0.7,13.62
9.87,88.37,88.37,0.0,176.74,6.7,4.4,0.66,20.0,6.9,7.5,30.0,0.7,27.88
8.76,84.9,84.9,0.0,254.71,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,34.72
9.9,72.26,72.26,0.0,198.35,4.26,2.16,0.51,10.0,6.0,8.0,22.0,0.09,62.98
14.03,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,25.64
13.73,75.29,50.44,24.84,150.57,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,5.35
9.87,72.79,72.79,0.0,199.99,18.01,3.63,0.2,10.0,6.0,8.0,22.0,0.09,88.89
17.4,78.0,52.26,25.74,156.0,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,29.31
24.66,71.0,47.57,23.43,142.0,4.6,3.5,0.76,14.0,4.0,7.6,22.0,0.7,15.64
9.79,67.4,67.4,0.0,135.8,7.97,4.76,0.6,20.0,12.0,7.4,30.0,0.7,55.56
7.09,87.54,87.54,0.0,175.07,6.7,4.4,0.66,20.0,7.3,7.5,30.0,0.7,55.52
10.28,70.92,70.92,0.0,197.84,8.93,3.39,0.38,10.0,6.0,8.0,22.0,0.09,79.15
11.26,69.68,69.68,0.0,203.87,4.3,2.25,0.52,10.0,6.0,8.0,22.0,0.09,54.96
13.46,75.44,50.54,24.9,150.88,7.5,5.3,0.71,14.0,3.0,7.6,22.0,0.7,16.76
9.68,76.8,76.8,0.0,151.9,7.03,4.27,0.61,20.0,12.0,7.4,30.0,0.7,81.11
3.16,79.91,79.91,0.0,159.83,6.7,4.4,0.66,20.0,9.9,7.5,30.0,0.7,48.85
12.98,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,21.05
9.33,70.55,70.55,0.0,199.75,18.81,3.86,0.21,10.0,6.0,8.0,22.0,0.09,95.76
10.45,70.47,47.21,23.26,140.94,8.2,5.6,0.68,14.0,9.3,7.6,22.0,0.7,23.72
11.15,74.65,74.65,0.0,193.65,18.83,3.92,0.21,10.0,6.0,8.0,22.0,0.09,83.6
10.61,70.32,70.32,0.0,213.89,4.76,2.21,0.46,10.0,6.0,8.0,22.0,0.09,75.3
11.97,65.16,65.16,0.0,177.04,6.09,3.0,0.49,10.0,6.0,8.0,22.0,0.09,55.2
10.65,68.31,68.31,0.0,197.38,17.17,3.79,0.22,10.0,6.0,8.0,22.0,0.09,101.63
12.08,71.61,71.61,0.0,183.1,5.85,3.06,0.52,10.0,6.0,8.0,22.0,0.09,51.96
11.81,75.48,75.48,0.0,202.73,5.44,2.79,0.51,10.0,6.0,8.0,22.0,0.09,61.13
10.85,81.0,54.27,26.73,176.78,7.0,5.3,0.76,20.0,4.0,7.5,30.0,0.7,4.76
7.26,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,18.95
18.82,82.78,55.46,27.32,172.46,12.0,7.83,0.65,30.0,11.1,7.5,30.0,0.7,63.5
11.6,65.17,65.17,0.0,176.13,10.05,4.1,0.41,4.0,3.0,7.6,22.0,0.09,81.21
6.66,94.92,94.92,0.0,189.85,6.7,4.4,0.66,20.0,6.9,7.5,30.0,0.7,31.95
11.46,75.0,50.25,24.75,152.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,14.78
11.1,85.0,50.46,34.54,158.61,9.6,6.91,0.72,20.0,0.3,7.6,30.0,0.7,1.48
9.17,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,20.63
11.6,65.03,65.03,0.0,175.75,9.53,3.99,0.42,4.0,3.0,7.6,22.0,0.09,82.51
8.05,52.0,52.0,0.0,118.0,4.0,3.1,0.78,4.0,5.8,7.4,30.0,0.05,25.18
11.48,74.19,74.19,0.0,189.94,6.32,3.32,0.53,10.0,6.0,8.0,22.0,0.09,55.26
11.63,75.0,50.25,24.75,166.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,39.14
11.54,70.97,70.97,0.0,205.58,4.77,2.39,0.5,10.0,6.0,8.0,22.0,0.09,58.32
9.41,52.57,52.57,0.0,134.63,4.3,3.3,0.77,6.0,4.0,7.4,30.0,0.7,23.28
9.95,72.68,72.68,0.0,218.03,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,28.71
