infP,infC,infAc,infpro,infS,MLSS,MLVSS,VSS/TSS,volumn,ana-time,pH,T,salinity,SR
9.43,76.8,76.8,0.0,151.9,7.15,4.15,0.58,20.0,12.0,7.4,30.0,0.7,41.11
11.1,85.0,50.46,34.54,158.61,9.6,6.91,0.72,20.0,0.5,7.6,30.0,0.7,2.89
10.64,82.6,55.34,27.26,165.2,7.5,5.83,0.78,20.0,6.0,7.5,30.0,0.7,0.7
9.51,77.67,77.67,0.0,233.0,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,36.13
10.91,69.79,46.76,23.03,139.58,8.2,5.6,0.68,14.0,6.8,7.6,22.0,0.7,21.91
14.95,164.0,109.88,54.12,160.78,7.8,6.65,0.85,20.0,5.0,7.5,30.0,0.7,1.93
10.36,85.0,52.01,32.99,155.14,9.6,6.91,0.72,0.5,2.0,7.5,30.0,0.7,11.19
9.73,84.0,64.58,19.42,158.55,9.6,6.91,0.72,0.5,1.0,7.6,35.0,0.7,9.94
9.68,70.97,70.97,0.0,206.17,4.76,2.24,0.47,10.0,6.0,8.0,22.0,0.09,84.16
10.33,68.31,68.31,0.0,186.0,6.64,2.57,0.39,10.0,6.0,8.0,22.0,0.09,77.92
9.08,77.3,77.3,0.0,231.91,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,32.74
10.36,84.67,84.67,0.0,254.02,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,31.94
10.55,70.92,70.92,0.0,192.03,9.51,3.17,0.33,10.0,6.0,8.0,22.0,0.09,86.14
5.67,85.0,83.1,1.9,160.11,9.6,6.91,0.72,0.5,2.0,7.6,30.0,0.7,11.76
10.14,70.17,70.17,0.0,197.35,19.93,4.05,0.2,10.0,6.0,8.0,22.0,0.09,85.53
17.46,80.85,80.85,0.0,161.69,6.7,4.4,0.66,20.0,8.6,7.5,30.0,0.7,44.52
9.96,83.34,83.34,0.0,166.67,6.7,4.4,0.66,20.0,8.4,7.5,30.0,0.7,48.89
9.43,83.01,83.01,0.0,249.04,7.7,4.6,0.6,20.0,6.0,7.5,30.0,1.0,33.76
10.46,76.8,76.8,0.0,151.9,6.91,3.94,0.57,20.0,12.0,7.4,30.0,0.7,48.67
20.92,57.0,57.0,0.0,129.0,4.3,3.3,0.77,4.0,5.8,7.4,30.0,0.7,32.59
9.69,72.04,72.04,0.0,196.58,13.61,4.24,0.31,10.0,6.0,8.0,22.0,0.09,98.76
10.36,85.0,52.01,32.99,155.56,9.6,6.91,0.72,0.5,1.0,8.0,30.0,0.7,6.8
11.71,75.06,75.06,0.0,150.12,6.7,4.4,0.66,20.0,7.0,7.5,30.0,0.7,21.73
15.53,73.0,48.91,24.09,146.0,5.5,4.6,0.84,14.0,5.8,7.6,22.0,0.7,7.95
10.77,84.0,64.58,19.42,151.99,9.6,6.91,0.72,0.5,0.3,7.6,20.0,0.7,8.25
6.79,85.0,31.89,53.11,166.95,9.6,6.91,0.72,0.5,0.5,7.6,30.0,0.7,5.05
9.21,58.0,58.0,0.0,114.0,3.1,2.4,0.77,4.0,7.8,7.4,20.0,0.05,23.57
9.64,70.55,70.55,0.0,193.96,4.87,2.35,0.48,10.0,6.0,8.0,22.0,0.09,69.93
10.64,76.8,76.8,0.0,151.9,7.12,4.15,0.58,20.0,12.0,7.4,30.0,0.7,20.67
9.05,75.0,50.25,24.75,193.0,9.6,6.91,0.72,20.0,2.0,7.4,30.0,0.7,24.0
