infP,infN,infC,infS,MLSS,MLVSS,VSS/TSS,ana-time,ano-time,pH,SR,P removal
9.51,29.43,70.92,189.4,4.9,2.18,0.44,6,2,8,62.70737,68.5
9.99,29.3,74.7,214.19,6.8,3,0.44,7.5,2,7.6,90.89817,74.6
9.99,50,76.71,153.42,7.2,5.32,0.74,6,6,7.5,13.48551,32.7
11.78,50,85.35,170.7,7.5,5.3,0.71,3,3,7.6,21.382565,81.3
10.83,60.5,74.58,157.83,7.3,5.3,0.73,6,4,7.5,3.6848714,90.2
17.4,50,78,156,7.5,5.3,0.71,3,3,7.6,29.057936,72.7
9.23,50.27,72.41,167.75,14.58,4.08,0.28,6,2,8,75.05412,87.7
14.75,50,75.02,150.03,7.5,5.3,0.71,3,3,7.6,21.887037,71.9
10.34,47.5,75,169,9.6,6.91,0.72,2,1.5,7.4,25.407587,42.2
9.88,30.09,74.7,224.1,7.7,4.6,0.6,6,3,7.5,30.82268,100
11.15,40.6,74.65,193.65,18.83,3.92,0.21,6,2,8,83.71325,88.1
11.08,45,76.47,154.52,6.7,4,0.6,8,4,7.5,32.241516,32.6
10.01,29.56,69.68,199.53,4.18,1.9,0.45,6,2,8,61.509884,76.9
9.69,49.9,72.04,196.58,13.61,4.24,0.31,6,2,8,98.49942,76.1
9.91,44.84,56.97,134.85,4,3.1,0.78,6,4,7.4,20.988853,67.9
8.07,34.53,70.14,210.41,7.7,4.6,0.6,6,3,7.5,29.875608,100
14.8,64.59,89.59,308.15,8.7,0.6,0.07,9,3,7.5,45.574696,100
9.83,41.34,70.55,197.72,17.47,3.59,0.21,6,2,8,92.51203,89.7
9.92,29.06,65.32,195.11,6.63,2.67,0.4,6,2,8,79.846756,71.6
10.46,22.8,76.8,151.9,6.82,4.03,0.59,12,24,7.4,54.30397,100
11.42,30.92,67.93,185.18,7.15,2.79,0.39,6,2,8,80.8885,72.7
9.96,22.8,76.8,151.9,7.42,4.61,0.62,12,24,7.4,37.144215,100
10.6,29.43,70.55,195.84,6.32,2.86,0.45,6,2,8,80.23754,77.6
14.55,50,72,144,4.8,4.1,0.85,4,4,7.6,7.769289,36.4
14.74,47.5,75,186,9.6,6.91,0.72,2,1.5,7.4,18.657728,92
11.53,54.36,82.48,164.96,6.7,4.4,0.66,6.1,3.2,7.5,42.570118,100
13.04,50,72.03,150.06,12.9,8.23,0.64,18.4,30.1,7.5,21.189482,64.2
9.75,18.7,67.4,135.8,7.91,5.21,0.66,12,24,7.4,40.40098,100
13.54,14.5,68.33,136.66,6.7,4.4,0.66,10.4,18.4,7.5,48.118256,50
7.26,45,52,118,4,3.1,0.78,5.8,3.8,7.4,19.353441,70.3
10.55,11.21,69.03,197.4,4.89,2.67,0.55,6,2,8,63.59869,66.9
10.91,40,69.79,139.58,8.2,5.6,0.68,6.8,7.3,7.6,21.875294,64.7
12.36,45,52,118,4,3.1,0.78,5.8,3.8,7.4,29.027689,73
11.89,0,63.23,167.39,5.63,2.69,0.48,6,2,8,40.103775,37.7
10.55,40.84,70.92,192.03,9.51,3.17,0.33,6,2,8,86.138374,72.2
10.36,43.95,85,155.14,9.6,6.91,0.72,2,0.3,7.5,11.311963,55.5
10.83,31.54,69.05,183.72,9.39,3.37,0.36,6,2,8,77.81542,77.5
9.25,36.56,78.31,234.93,7.7,4.6,0.6,6,3,7.5,29.14548,100
9.84,29.52,75.87,199.28,8.2,3.5,0.43,5,2.5,7.1,100.82899,100
10.53,50,82.4,164.79,7.5,5.3,0.71,3,3,7.6,11.934055,69.6
8.82,18.7,67.4,135.8,7.88,5.21,0.66,12,24,7.4,26.8919,100
9.95,39.03,72.68,218.03,7.7,4.6,0.6,6,3,7.5,28.612946,100
9.65,47.5,75,151,9.6,6.91,0.72,2,1.5,7.4,18.394836,84.3
9.74,30.05,70.92,197.71,8.17,2.93,0.36,6,2,8,86.05076,67.9
11.65,45,72,160,6.91,4.09,0.59,5,6,7.5,3.5229642,51.4
10.64,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,23.16325,17.4
10.87,39.6,72.04,177.42,9.69,3.46,0.36,6,2,8,76.07442,77.6
9.73,53.74,84,158.55,9.6,6.91,0.72,2,0.5,7.6,15.175182,0
19.74,50,74.5,155.21,11.5,7.54,0.66,17.7,29.3,7.5,43.82731,35.4
9.88,35.92,89.52,268.55,7.7,4.6,0.6,6,3,7.5,28.167953,100
9.97,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,30.088728,52.3
12.8,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,21.079855,0
13.34,45,57,129,4.3,3.3,0.77,5.8,3.8,7.4,20.935427,19.6
9.88,35.29,83.6,250.8,7.7,4.6,0.6,6,3,7.5,29.31466,100
5.67,50,85,160.11,9.6,6.91,0.72,2,1,7.6,11.58625,100
9.14,41.09,74.28,182.1,10.12,3.22,0.32,6,2,8,87.62072,72
9.69,30.67,71.29,199.59,6.64,2.58,0.39,6,2,8,77.18226,70.3
11.48,20.26,69.03,205.94,4.86,2.58,0.53,6,2,8,65.64164,59.8
17.7,47.5,75,177,9.6,6.91,0.72,2,1.5,7.4,31.088673,87.6
9.69,29.19,73.16,194.76,9.09,3.32,0.37,6,2,8,80.052605,63.9
10.09,50,84,151.99,9.6,6.91,0.72,3,0.3,7.6,11.1616535,0
9.73,53.74,84,158.55,9.6,6.91,0.72,2,1,7.6,15.175182,0
11.15,9.72,72.9,187.46,5.37,2.89,0.54,6,2,8,41.178204,64.2
10.36,22.8,76.8,151.9,6.88,3.97,0.58,12,24,7.4,51.74145,100
17.46,26.3,80.85,161.69,6.7,4.4,0.66,8.6,12,7.5,44.615997,100
13.69,50,75,150,5.5,4.6,0.84,4.2,4.2,7.6,14.114598,84.8
9.43,34.65,83.01,249.04,7.7,4.6,0.6,6,3,7.5,33.590126,100
10.77,50,84,151.99,9.6,6.91,0.72,3,1,7.6,14.678042,0
9.64,22.8,76.8,151.9,7.91,4.94,0.62,12,24,7.4,48.12926,52.8
11.21,41.59,74.84,209.74,4.83,2.38,0.49,6,2,8,70.66547,72.7
12.07,41.5,80.28,160.55,6.7,4.4,0.66,7,6.6,7.5,30.247377,100
8.36,18.7,67.4,135.8,8.06,5.18,0.64,12,24,7.4,36.056873,100
7.33,50,79.34,165.29,11.6,7.47,0.64,10.4,21.5,7.5,57.50526,60.5
9.6,30.92,70.17,178.88,7.58,2.88,0.38,6,2,8,69.44415,73.9
11.09,47.5,75,194,9.6,6.91,0.72,2,1.5,7.4,14.00969,91.3
10.14,30.05,70.17,197.35,19.93,4.05,0.2,6,2,8,85.442665,93.1
9.41,72.13,52.57,134.63,4.3,3.3,0.77,6,3,7.4,24.084515,24.5
10.36,52.54,85,155.73,9.6,6.91,0.72,2,0.3,8.5,8.573915,65.9
12.13,47.5,75,173,9.6,6.91,0.72,2,1.5,7.4,17.177,74.3
7.22,50,76,152,7.5,5.3,0.71,3,3,7.6,21.402466,97
9.45,45,58,114,3.1,2.4,0.77,7.8,13.8,7.4,22.344269,69
9.36,18.7,67.4,135.8,7.97,4.76,0.6,12,24,7.4,35.652832,16.5
6.66,42.89,94.92,189.85,6.7,4.4,0.66,6.9,6.2,7.5,31.956217,98.4
